id_caso,bloco,cenario,status,V_esperado,m_esperado,classe_argila,classe_ctc,F1,F2,F3,F4,F5,F6,F7,classe_esperada,fator_determinante_esperado,fonte_gabarito,data_gabarito,autor_gabarito,observacoes
ANX-G4-EUCA,anexo1_manual,ATUAL,CONFERIDO,30.81,21.94,3,MEDIA,MODERADO,NULO,MODERADO,LIGEIRO,LIGEIRO,MODERADO,LIGEIRO,APTA_COM_RESTRICOES,F1_acidez,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),"Gleba 4, Tab. A.1 (p. 353) transcrita e validada. Classes de P e K conferem com Tab. A.2/A.3 pelo CCAE (0 divergencias em 32). Preencher apenas classe_esperada e fator_determinante."
ANX-G4-MILH,anexo1_manual,ATUAL,CONFERIDO,30.81,21.94,3,MEDIA,MODERADO,MODERADO,FORTE,LIGEIRO,LIGEIRO,MODERADO,LIGEIRO,RESTRITA,F3_potassio,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),"Gleba 4, Tab. A.1 (p. 353) transcrita e validada. Classes de P e K conferem com Tab. A.2/A.3 pelo CCAE (0 divergencias em 32). Preencher apenas classe_esperada e fator_determinante."
CAL-01,calibracao,ATUAL,CONFERIDO,48.47,1.51,2,MEDIA,LIGEIRO,NULO,NULO,NULO,LIGEIRO,LIGEIRO,NULO,APTA,F1_acidez,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CAL-02,calibracao,ATUAL,CONFERIDO,27.15,16.73,2,ALTA,MODERADO,MODERADO,FORTE,LIGEIRO,NULO,LIGEIRO,NULO,RESTRITA,F3_potassio,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CAL-03,calibracao,ATUAL,CONFERIDO,59.48,0,3,MEDIA,NULO,NULO,NULO,NULO,LIGEIRO,LIGEIRO,LIGEIRO,APTA,F5_ctc,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CAL-04,calibracao,ATUAL,CONFERIDO,58.89,0,3,ALTA,NULO,NULO,NULO,NULO,NULO,LIGEIRO,LIGEIRO,APTA,F6_mo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CAL-05,calibracao,ATUAL,CONFERIDO,51.47,4.63,4,MEDIA,LIGEIRO,FORTE,FORTE,LIGEIRO,LIGEIRO,MODERADO,MODERADO,RESTRITA,F2_fosforo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CAL-06,calibracao,ATUAL,CONFERIDO,47.15,6.6,3,MEDIA,MODERADO,MODERADO,NULO,LIGEIRO,LIGEIRO,LIGEIRO,LIGEIRO,APTA_COM_RESTRICOES,F1_acidez,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CAL-07,calibracao,ATUAL,CONFERIDO,48.87,2.11,3,MEDIA,LIGEIRO,MODERADO,MODERADO,LIGEIRO,LIGEIRO,LIGEIRO,LIGEIRO,APTA_COM_RESTRICOES,F2_fosforo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CAL-08,calibracao,ATUAL,CONFERIDO,50.05,0,2,ALTA,LIGEIRO,NULO,NULO,NULO,NULO,LIGEIRO,NULO,APTA,F1_acidez,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CAL-09,calibracao,ATUAL,CONFERIDO,24.46,24.31,2,MEDIA,MODERADO,NULO,MODERADO,LIGEIRO,LIGEIRO,LIGEIRO,NULO,APTA_COM_RESTRICOES,F1_acidez,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CAL-10,calibracao,ATUAL,CONFERIDO,18.61,37.85,3,MEDIA,FORTE,FORTE,MODERADO,MODERADO,LIGEIRO,NULO,LIGEIRO,RESTRITA,F1_acidez,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CAL-11,calibracao,ATUAL,CONFERIDO,48.41,1.4,2,MEDIA,LIGEIRO,NULO,NULO,NULO,LIGEIRO,LIGEIRO,NULO,APTA,F1_acidez,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CAL-12,calibracao,ATUAL,CONFERIDO,60.7,0,2,ALTA,LIGEIRO,NULO,NULO,NULO,NULO,LIGEIRO,NULO,APTA,F1_acidez,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CAL-13,calibracao,ATUAL,CONFERIDO,25.66,31.53,3,MEDIA,MODERADO,FORTE,MODERADO,LIGEIRO,LIGEIRO,LIGEIRO,LIGEIRO,RESTRITA,F2_fosforo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CAL-14,calibracao,ATUAL,CONFERIDO,25.99,22.39,2,ALTA,MODERADO,NULO,MODERADO,LIGEIRO,NULO,LIGEIRO,NULO,APTA_COM_RESTRICOES,F1_acidez,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-ER-01,entrada_invalida,ATUAL,FORA_DAS_METRICAS,,,,,,,,,,,,INDETERMINADA,N/A,CCAE v1.1 §5.4 (falha explicita),2026-09-09,Igor Zanette,Fora do calculo de conformidade.
CONF-ER-02,entrada_invalida,ATUAL,FORA_DAS_METRICAS,,,,,,,,,,,,INDETERMINADA,N/A,CCAE v1.1 §5.4 (falha explicita),2026-09-09,Igor Zanette,"Rejeitar, nao truncar."
CONF-ER-03,entrada_invalida,ATUAL,FORA_DAS_METRICAS,,,,,,,,,,,,INDETERMINADA,N/A,CCAE v1.1 §5.4 (falha explicita),2026-09-09,Igor Zanette,Nao deve cair em catch-all.
CONF-ER-04,entrada_invalida,ATUAL,FORA_DAS_METRICAS,,,,,,,,,,,,INDETERMINADA,N/A,CCAE v1.1 §5.4 (falha explicita),2026-09-09,Igor Zanette,"Validacao cruzada nao prevista no CCAE v1.0 -- se o motor aceitar, abrir item no Apendice B e decidir se vira regra na v1.1."
CONF-F1-01,fator_determinante,ATUAL,CONFERIDO,47.12,0,2,ALTA,NULO,NULO,MODERADO,NULO,NULO,LIGEIRO,NULO,APTA_COM_RESTRICOES,F3_potassio,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-F1-02,fator_determinante,ATUAL,CONFERIDO,45.92,1.26,2,ALTA,LIGEIRO,NULO,MODERADO,NULO,NULO,LIGEIRO,NULO,APTA_COM_RESTRICOES,F3_potassio,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-F1-03,fator_determinante,ATUAL,CONFERIDO,21.45,31.79,2,ALTA,FORTE,NULO,NULO,LIGEIRO,NULO,LIGEIRO,NULO,RESTRITA,F1_acidez,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-F2-01,fator_determinante,ATUAL,CONFERIDO,51.43,0,2,ALTA,NULO,MUITO_FORTE,NULO,NULO,NULO,LIGEIRO,NULO,INAPTA_SEM_CORRECAO,F2_fosforo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-F2-02,fator_determinante,ATUAL,CONFERIDO,50.06,0,3,ALTA,NULO,FORTE,NULO,NULO,NULO,LIGEIRO,LIGEIRO,RESTRITA,F2_fosforo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-F2-03,fator_determinante,ATUAL,CONFERIDO,50.06,0,3,ALTA,NULO,NULO,NULO,NULO,NULO,LIGEIRO,LIGEIRO,APTA,F6_mo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),"Par com CONF-F2-02: mesma analise, grupos de exigencia distintos."
CONF-F3-01,fator_determinante,ATUAL,CONFERIDO,49.7,0,2,ALTA,NULO,NULO,MUITO_FORTE,NULO,NULO,LIGEIRO,NULO,INAPTA_SEM_CORRECAO,F3_potassio,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-F3-02,fator_determinante,ATUAL,CONFERIDO,52.37,0,3,ALTA,NULO,NULO,FORTE,NULO,NULO,LIGEIRO,LIGEIRO,RESTRITA,F3_potassio,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),Cobre a divergencia grupo_p=2 / grupo_k=1 do Anexo 2.
CONF-F3-03,fator_determinante,ATUAL,CONFERIDO,57.43,0,3,MEDIA,NULO,MODERADO,MODERADO,NULO,LIGEIRO,LIGEIRO,LIGEIRO,APTA_COM_RESTRICOES,F2_fosforo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),Segunda divergencia P/K do Anexo 2.
CONF-F4-01,fator_determinante,ATUAL,CONFERIDO,41.61,0,2,ALTA,NULO,NULO,NULO,MODERADO,NULO,LIGEIRO,NULO,APTA_COM_RESTRICOES,F4_ca_mg,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-F4-02,fator_determinante,ATUAL,CONFERIDO,22.24,0,2,ALTA,NULO,NULO,NULO,MODERADO,NULO,LIGEIRO,NULO,APTA_COM_RESTRICOES,F4_ca_mg,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-F4-03,fator_determinante,ATUAL,CONFERIDO,26.15,0,2,ALTA,NULO,NULO,NULO,LIGEIRO,NULO,LIGEIRO,NULO,APTA,F4_ca_mg,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-F5-01,fator_determinante,ATUAL,CONFERIDO,89,0,2,BAIXA,NULO,NULO,NULO,NULO,MODERADO,LIGEIRO,NULO,APTA_COM_RESTRICOES,F5_ctc,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-F5-02,fator_determinante,ATUAL,CONFERIDO,67.13,0,2,MEDIA,NULO,NULO,NULO,NULO,LIGEIRO,LIGEIRO,NULO,APTA,F5_ctc,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-F5-03,fator_determinante,ATUAL,CONFERIDO,66.92,0,2,ALTA,NULO,NULO,NULO,NULO,NULO,LIGEIRO,NULO,APTA,F6_mo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-F6-01,fator_determinante,ATUAL,CONFERIDO,57.4,0,2,ALTA,NULO,NULO,NULO,NULO,NULO,MODERADO,NULO,APTA_COM_RESTRICOES,F6_mo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-F6-02,fator_determinante,ATUAL,CONFERIDO,57.4,0,2,ALTA,NULO,NULO,NULO,NULO,NULO,LIGEIRO,NULO,APTA,F6_mo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-F6-03,fator_determinante,ATUAL,CONFERIDO,57.4,0,2,ALTA,NULO,NULO,NULO,NULO,NULO,NULO,NULO,APTA,F1_acidez,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-F7-01,fator_determinante,ATUAL,CONFERIDO,57.7,0,4,ALTA,NULO,NULO,NULO,NULO,NULO,LIGEIRO,MODERADO,APTA_COM_RESTRICOES,F7_textura,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-F7-02,fator_determinante,ATUAL,CONFERIDO,57.55,0,3,ALTA,NULO,NULO,NULO,NULO,NULO,LIGEIRO,LIGEIRO,APTA,F6_mo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-F7-03,fator_determinante,ATUAL,CONFERIDO,57.55,0,2,ALTA,NULO,NULO,NULO,NULO,NULO,LIGEIRO,NULO,APTA,F6_mo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-FR-01,fronteira,ATUAL,CONFERIDO,44.42,2.74,2,ALTA,LIGEIRO,NULO,MODERADO,NULO,NULO,LIGEIRO,NULO,APTA_COM_RESTRICOES,F3_potassio,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-FR-02,fronteira,ATUAL,CONFERIDO,44.42,2.74,2,ALTA,MODERADO,NULO,MODERADO,NULO,NULO,LIGEIRO,NULO,APTA_COM_RESTRICOES,F1_acidez,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-FR-03,fronteira,ATUAL,CONFERIDO,51.92,0,2,ALTA,NULO,NULO,MODERADO,NULO,NULO,LIGEIRO,NULO,APTA_COM_RESTRICOES,F3_potassio,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-FR-05,fronteira,ATUAL,CONFERIDO,51.92,0,4,ALTA,NULO,FORTE,MODERADO,NULO,NULO,LIGEIRO,MODERADO,RESTRITA,F2_fosforo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-FR-06,fronteira,ATUAL,CORRIGIDO_NA_CONFERENCIA,51.92,0,3,ALTA,NULO,NULO,MODERADO,NULO,NULO,LIGEIRO,LIGEIRO,APTA_COM_RESTRICOES,F3_potassio,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),"CORRIGIDO na conferencia: argila 20,1 -> classe 3 pela convencao de limite superior (CCAE-implementacao 2). Com classe 3, P=20,0 cai em Alto (Tab. 6.4) e F2 vai a NULO. O par FR-05/FR-06 passa a discriminar a fronteira, que era o proposito do caso."
CONF-FR-07,fronteira,ATUAL,CONFERIDO,51.92,0,3,ALTA,NULO,MODERADO,MODERADO,NULO,NULO,LIGEIRO,LIGEIRO,APTA_COM_RESTRICOES,F2_fosforo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-FR-09,fronteira,ATUAL,CONFERIDO,51.92,0,3,ALTA,NULO,FORTE,MODERADO,NULO,NULO,LIGEIRO,LIGEIRO,RESTRITA,F2_fosforo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-FR-10,fronteira,ATUAL,CONFERIDO,51.92,0,3,ALTA,NULO,MODERADO,MODERADO,NULO,NULO,LIGEIRO,LIGEIRO,APTA_COM_RESTRICOES,F2_fosforo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-FR-13,fronteira,ATUAL,CONFERIDO,51.92,0,3,ALTA,NULO,NULO,MODERADO,NULO,NULO,LIGEIRO,LIGEIRO,APTA_COM_RESTRICOES,F3_potassio,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-FR-14,fronteira,ATUAL,CONFERIDO,89.74,0,2,BAIXA,NULO,NULO,NULO,NULO,MODERADO,LIGEIRO,NULO,APTA_COM_RESTRICOES,F5_ctc,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-FR-17,fronteira,ATUAL,CONFERIDO,68.58,0,2,MEDIA,NULO,NULO,MODERADO,NULO,LIGEIRO,LIGEIRO,NULO,APTA_COM_RESTRICOES,F3_potassio,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-FR-18,fronteira,ATUAL,CONFERIDO,68.61,0,2,MEDIA,NULO,NULO,NULO,NULO,LIGEIRO,LIGEIRO,NULO,APTA,F5_ctc,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-FR-19,fronteira,ATUAL,CONFERIDO,51.92,0,2,ALTA,NULO,NULO,MODERADO,NULO,NULO,MODERADO,NULO,APTA_COM_RESTRICOES,F3_potassio,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-FR-21,fronteira,ATUAL,CONFERIDO,28.07,0,2,MEDIA,NULO,NULO,NULO,LIGEIRO,LIGEIRO,LIGEIRO,NULO,APTA,F4_ca_mg,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-FR-22,fronteira,ATUAL,CONFERIDO,44.22,0,2,MEDIA,NULO,NULO,NULO,LIGEIRO,LIGEIRO,LIGEIRO,NULO,APTA,F4_ca_mg,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-FR-23,fronteira,ATUAL,CONFERIDO,25,30,2,MEDIA,FORTE,NULO,NULO,LIGEIRO,LIGEIRO,LIGEIRO,NULO,RESTRITA,F1_acidez,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-FR-24,fronteira,ATUAL,CONFERIDO,15.38,50,2,MEDIA,FORTE,NULO,NULO,MODERADO,LIGEIRO,LIGEIRO,NULO,RESTRITA,F1_acidez,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-PT-01,cenario_potencial,POTENCIAL,CONFERIDO,16.43,36.23,2,MEDIA,NULO,NULO,NULO,NULO,LIGEIRO,NULO,NULO,APTA,F5_ctc,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),Par ATUAL/POTENCIAL: limitacoes so corrigiveis
CONF-PT-01-ATU,cenario_potencial,ATUAL,CONFERIDO,16.43,36.23,2,MEDIA,FORTE,MUITO_FORTE,MUITO_FORTE,MODERADO,LIGEIRO,LIGEIRO,NULO,INAPTA_SEM_CORRECAO,F2_fosforo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-PT-02,cenario_potencial,POTENCIAL,CONFERIDO,28.48,24.48,4,BAIXA,NULO,NULO,NULO,NULO,MODERADO,NULO,MODERADO,APTA_COM_RESTRICOES,F5_ctc,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),Limitacao permanente por textura e CTC
CONF-PT-02-ATU,cenario_potencial,ATUAL,CONFERIDO,28.48,24.48,4,BAIXA,MODERADO,MUITO_FORTE,MUITO_FORTE,MODERADO,MODERADO,MODERADO,MODERADO,INAPTA_SEM_CORRECAO,F2_fosforo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-PT-03,cenario_potencial,POTENCIAL,CONFERIDO,4.38,82.02,2,ALTA,LIGEIRO,NULO,NULO,NULO,NULO,NULO,NULO,APTA,F1_acidez,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),"Corrigido na v1.1: SMP 4,4 produz 21,0 t/ha para pH 6,0, superando o teto operacional de 20 t/ha. Caso destinado a exercitar a não-exequibilidade da correção incorporada."
CONF-PT-03-ATU,cenario_potencial,ATUAL,CONFERIDO,4.38,82.02,2,ALTA,MUITO_FORTE,MUITO_FORTE,MUITO_FORTE,MODERADO,NULO,LIGEIRO,NULO,INAPTA_SEM_CORRECAO,F1_acidez,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-PT-04,cenario_potencial,POTENCIAL,CONFERIDO,22.69,21.6,2,ALTA,NULO,NULO,NULO,NULO,NULO,NULO,NULO,APTA,F1_acidez,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),"Corrigido na v1.1: macieira removida deste caso porque o sistema de manejo plantio_direto_consolidado pertence ao regime de grãos/forrageiras e não à Tabela 5.6 de frutíferas. O caso foi convertido para soja. A Tabela 5.3 exige 1/4 SMP no PD consolidado; com SMP 5,8, a dose é 1,05 t/ha, portanto o teto de 5 t/ha NÃO é exercitado. O caso permanece válido para testar o ramo de PD consolidado, mas não deve ser descrito como teste de estouro do teto."
CONF-PT-04-ATU,cenario_potencial,ATUAL,CONFERIDO,22.69,21.6,2,ALTA,MODERADO,NULO,MODERADO,LIGEIRO,NULO,LIGEIRO,NULO,APTA_COM_RESTRICOES,F1_acidez,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-PT-05,cenario_potencial,POTENCIAL,CONFERIDO,15.11,45.98,3,MEDIA,NULO,NULO,NULO,NULO,LIGEIRO,NULO,LIGEIRO,APTA,F5_ctc,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),Ramo (b): correcao so afeta Ca/Mg
CONF-PT-05-ATU,cenario_potencial,ATUAL,CONFERIDO,15.11,45.98,3,MEDIA,MODERADO,FORTE,MODERADO,MODERADO,LIGEIRO,LIGEIRO,LIGEIRO,RESTRITA,F2_fosforo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-RB-01,ramo_b_sem_ph_referencia,ATUAL,CONFERIDO,42.2,11.22,2,MEDIA,NULO,NULO,NULO,NULO,LIGEIRO,LIGEIRO,NULO,APTA,F5_ctc,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-RB-02,ramo_b_sem_ph_referencia,ATUAL,CONFERIDO,18.42,36.77,3,MEDIA,MODERADO,NULO,NULO,MODERADO,LIGEIRO,LIGEIRO,LIGEIRO,APTA_COM_RESTRICOES,F1_acidez,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
CONF-RB-03,ramo_b_sem_ph_referencia,ATUAL,CONFERIDO,37.36,15.14,2,MEDIA,NULO,NULO,NULO,NULO,LIGEIRO,LIGEIRO,NULO,APTA,F5_ctc,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),Testa a excecao Ca/Mg das Tab. 5.6 e 5.7.
CONF-RB-04,ramo_b_sem_ph_referencia,ATUAL,CONFERIDO,40,19.35,3,MEDIA,NULO,MODERADO,NULO,LIGEIRO,LIGEIRO,LIGEIRO,LIGEIRO,APTA_COM_RESTRICOES,F2_fosforo,CCAE v1.1 §§4-8,2026-09-09,Igor Zanette (aplicacao assistida do CCAE),
